source,frame,sub,field,index,got
ALGTHM,0,-1,L0,-1,1
ALGTHM,0,-1,L1,-1,105
ALGTHM,0,-1,L2,-1,17
ALGTHM,0,-1,L3,-1,0
ALGTHM,0,-1,P1,-1,2
ALGTHM,0,-1,P0,-1,1
ALGTHM,0,-1,C1,-1,0
ALGTHM,0,-1,S1,-1,15
ALGTHM,0,-1,GA1,-1,5
ALGTHM,0,-1,GB1,-1,6
ALGTHM,0,-1,P2,-1,2
ALGTHM,0,-1,C2,-1,6134
ALGTHM,0,-1,S2,-1,15
ALGTHM,0,-1,GA2,-1,6
ALGTHM,0,-1,GB2,-1,2
ALGTHM,0,0,lsf_q13,0,1820
ALGTHM,0,0,lsp_q15,0,31953
ALGTHM,0,0,lsf_q13,1,3680
ALGTHM,0,0,lsp_q15,1,29511
ALGTHM,0,0,lsf_q13,2,6013
ALGTHM,0,0,lsp_q15,2,24323
ALGTHM,0,0,lsf_q13,3,8525
ALGTHM,0,0,lsp_q15,3,16555
ALGTHM,0,0,lsf_q13,4,11010
ALGTHM,0,0,lsp_q15,4,7352
ALGTHM,0,0,lsf_q13,5,13291
ALGTHM,0,0,lsp_q15,5,-1709
ALGTHM,0,0,lsf_q13,6,15741
ALGTHM,0,0,lsp_q15,6,-11276
ALGTHM,0,0,lsf_q13,7,18499
ALGTHM,0,0,lsp_q15,7,-20810
ALGTHM,0,0,lsf_q13,8,20819
ALGTHM,0,0,lsp_q15,8,-27050
ALGTHM,0,0,lsf_q13,9,23249
ALGTHM,0,0,lsp_q15,9,-31273
ALGTHM,0,0,lp_a_q12,0,4096
ALGTHM,0,0,lp_a_q12,1,-2197
ALGTHM,0,0,lp_a_q12,2,-375
ALGTHM,0,0,lp_a_q12,3,-4
ALGTHM,0,0,lp_a_q12,4,-144
ALGTHM,0,0,lp_a_q12,5,-68
ALGTHM,0,0,lp_a_q12,6,303
ALGTHM,0,0,lp_a_q12,7,-36
ALGTHM,0,0,lp_a_q12,8,-90
ALGTHM,0,0,lp_a_q12,9,145
ALGTHM,0,0,lp_a_q12,10,-33
ALGTHM,0,1,lsf_q13,0,1094
ALGTHM,0,1,lsp_q15,0,32468
ALGTHM,0,1,lsf_q13,1,2320
ALGTHM,0,1,lsp_q15,1,31455
ALGTHM,0,1,lsf_q13,2,4845
ALGTHM,0,1,lsp_q15,2,27197
ALGTHM,0,1,lsf_q13,3,7644
ALGTHM,0,1,lsp_q15,3,19499
ALGTHM,0,1,lsf_q13,4,10312
ALGTHM,0,1,lsp_q15,4,10042
ALGTHM,0,1,lsf_q13,5,12553
ALGTHM,0,1,lsp_q15,5,1243
ALGTHM,0,1,lsf_q13,6,15128
ALGTHM,0,1,lsp_q15,6,-8942
ALGTHM,0,1,lsf_q13,7,18293
ALGTHM,0,1,lsp_q15,7,-20161
ALGTHM,0,1,lsf_q13,8,20593
ALGTHM,0,1,lsp_q15,8,-26531
ALGTHM,0,1,lsf_q13,9,23115
ALGTHM,0,1,lsp_q15,9,-31105
ALGTHM,0,1,lp_a_q12,0,4096
ALGTHM,0,1,lp_a_q12,1,-4395
ALGTHM,0,1,lp_a_q12,2,101
ALGTHM,0,1,lp_a_q12,3,349
ALGTHM,0,1,lp_a_q12,4,-239
ALGTHM,0,1,lp_a_q12,5,-165
ALGTHM,0,1,lp_a_q12,6,714
